"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"1","IUU",2015,0.05,1662.28986499656,70889.3119387889,2516011.55286171,0.620641646325238,10.0508623233324,4.51771240474668,12,57,13.4778902664524,2135.82283154473
"2","IUU",2015,0.1,9592.49929956155,132721.197606204,7570708.0555535,3.58150806488005,18.8175403039543,13.5938492239386,10,26,22.2775462315074,3555.41668891274
"3","IUU",2015,0.15,15921.7003955615,190343.442026204,11632637.577155,5.94461324338215,26.9873649162585,20.8873886220681,10,25,30.5729571396502,5020.96230091274
"4","IUU",2015,0.2,21188.3927195615,250043.254006204,15133634.7845942,7.91101432870827,35.451752205811,27.1737264153274,10,26,39.4017032322443,6670.92016091275
"5","IUU",2015,0.25,24858.7380575616,314289.238006204,17977891.7707425,9.28139456209988,44.560707030603,32.2808313703879,10,27,49.5116380486427,8595.71686091274
"6","IUU",2015,0.3,28581.0130855616,539637.974526205,23582657.7697185,10.6711635489053,76.5112093496994,42.3446646824713,11,36,87.6691690623761,16025.9350004524
"7","IUU",2015,0.35,28115.8958825616,545148.628326204,23510015.9573525,10.4975048431147,77.292523501869,42.214230139571,11,36,88.7310273571079,16244.7557254524
"8","IUU",2015,0.4,28042.8514625615,542836.659526205,23420120.7908235,10.4702325784885,76.9647268359245,42.0528157341034,11,36,88.4581015961614,16172.7431754524
"9","IUU",2015,0.45,20559.5794145616,758023.205826204,23633533.4621025,7.67623714991148,107.474408641867,42.4360163085486,13,54,129.591491604425,24411.4254591815
"10","IUU",2015,0.5,-951.76021843846,995304.065726204,17798786.2520731,-0.355354406783762,141.116676983759,31.9592322018423,15,68,181.935842341091,36146.5738596803
"11","IUU",2015,0.55,-6947.94363443844,1050465.3601262,15900080.2834645,-2.5941222807502,148.937582003545,28.5499443956742,16,69,194.667835295017,39179.5064923305
"12","IUU",2015,0.6,-14086.6427284385,1105443.4603262,13684230.3168495,-5.25946606441684,156.732513295665,24.5711976089799,17,72,207.796162752886,42496.4452395172
"13","IUU",2015,0.65,-38054.4279964385,1278812.6946262,5773117.70520551,-14.2082096143464,181.313232975318,10.3661230971713,21,76,250.661523112749,54827.6374515535
"14","IUU",2015,0.7,-87812.1692984384,1536000.5109262,-9906793.3548255,-32.7860323692017,217.777958928673,-17.7884887608928,34,87,320.078265419684,90051.6125601321
"15","IUU",2015,0.75,-77704.0999534384,1487787.8757262,-6778521.39769749,-29.0120282490097,210.942252030309,-12.1714108066744,34,86,306.726970651243,82497.6271591321
"16","IUU",2015,0.8,-92547.3458674384,1549694.3695262,-11064143.8846955,-34.5539838217788,219.719508136861,-19.8666099203473,36,89,324.305456778169,94117.16584016
