"","Name","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"1","Atrina","IUU",2015,0.05,164.005967691286,14100.1592641367,2587478.31444289,0.389156630444136,6.59974585136857,16.2710048610773,15,NA,5.9163908282505,-0.746664462572085
"2","Atrina","IUU",2015,0.1,846.163072372568,25231.5742867765,6648740.36595534,2.00779261075792,11.8099359449219,41.8096979637075,12,NA,8.90897157005928,-0.706779078530985
"3","Atrina","IUU",2015,0.15,1418.01707237257,35803.7022867765,10054906.4568553,3.36469918482171,16.7583451508805,63.2289093686168,12,NA,11.7688320032803,-3.70907907853098
"4","Atrina","IUU",2015,0.2,1902.94567237257,46942.4462867765,13140434.9028553,4.5153474364586,21.9719656587307,82.6318346274002,12,NA,14.9595894812176,-3.44207907853104
"5","Atrina","IUU",2015,0.25,2243.60617237257,59290.2632867765,15867514.1509553,5.32367346368559,27.7515070449391,99.7807009404816,13,NA,19.0269208053619,-12.288715802041
"6","Atrina","IUU",2015,0.3,2634.35107237257,104157.437286776,22605665.2858553,6.25084075392382,48.7521170325356,142.152646343331,15,NA,35.8143481497032,-14.246081454855
"7","Atrina","IUU",2015,0.35,2608.76707237258,105329.799286777,22638011.5038553,6.19013452857462,49.300854894347,142.35605112836,15,NA,36.4249910709733,-12.864781454855
"8","Atrina","IUU",2015,0.4,2577.66467237257,104848.872286776,22539740.5708553,6.11633413366759,49.0757513395855,141.738087754669,15,NA,36.2760598260973,-12.607881454855
"9","Atrina","IUU",2015,0.45,1606.90837237257,149747.764286776,25477454.3718553,3.81290422798564,70.0912073111878,160.211500756708,19,NA,57.2219530556485,-10.48127129739
"10","Atrina","IUU",2015,0.5,-1542.73692762743,202100.669286777,24422966.9918553,-3.66063694430508,94.595601985626,153.580500531449,29,NA,88.9933361263668,-11.099304817
"11","Atrina","IUU",2015,0.55,-2538.35682762743,214509.513286776,23762423.2418553,-6.02306369585136,100.403707778982,149.426761152374,31,NA,97.2812316811126,-13.829574426797
"12","Atrina","IUU",2015,0.6,-3663.57082762743,227107.180286777,22876223.8018553,-8.69299391200552,106.300194404608,143.854016710174,32,NA,106.215700061234,-2.52873200078102
"13","Atrina","IUU",2015,0.65,-7742.62062762743,267165.764286776,19345381.5418553,-18.3718446143764,125.050087126609,121.650796201821,38,NA,135.786672934097,-11.459228947889
"14","Atrina","IUU",2015,0.7,-16019.6854576274,329067.180286777,11119456.0518553,-38.0118290890487,154.023774996854,69.9231844620227,NA,NA,187.276817544036,NA
"15","Atrina","IUU",2015,0.75,-14385.2793076274,317388.834286776,12792427.6818553,-34.1336775859985,148.557587408436,80.4434386308138,50,NA,177.31764374069,-4.08403624032201
"16","Atrina","IUU",2015,0.8,-16673.4846676274,332647.396286777,10442629.4018553,-39.5631768914016,155.699537323391,65.6670522846878,NA,NA,190.707116907594,NA
"17","Atrina","IUU",2015,0.85,-22055.0451876274,366720.511286777,4925642.06185534,-52.3326510024688,171.647860682859,30.9742290341209,NA,NA,220.853216418928,NA
"18","Atrina","IUU",2015,0.9,-28998.2889076274,404715.796286777,-2291803.38814466,-68.8077181507184,189.432001971824,-14.4116933699458,NA,NA,256.831652090922,NA
"19","Atrina","IUU",2020,0.05,142.643072372572,13467.1412867765,1060369.09885534,0.338466326452207,6.3034543207792,6.66798661295299,16,-5,6.21625135084126,-1.82649184245997
"20","Atrina","IUU",2020,0.1,746.788672372568,24271.9482867765,2982855.22185534,1.77199505289587,11.3607716770774,18.7572786769994,13,-5,9.53603563084162,-3.49467734511109
