Common Name ,Genus,Resilience,r_lo,r_hi,stb.low,stb.hi,endb.low,endb.high,m.rate
Mollusc,Atrina,Low,,0.90,0.10,0.30,0.01,0.30,0.02
Crab,Callinectes,High,,0.90,,,,,0.46
Graysby,Cephalopholis,Medium,0.29,0.53,0.10,0.30,0.01,0.40,0.09
Diamond Stingray,Dasyatis,Low,0.19,0.90,0.30,0.50,0.30,0.60,0.26
Rooster Hind,Epinephelus,Very low,0.06,0.49,0.10,0.30,0.01,0.40,0.25
Yellow snapper,Lutjanus,Low,0.20,0.47,0.10,0.30,0.10,0.30,0.12
Gulf weakfish,Micropogonias,Medium,,,,,,,0.70
White mullet,Mugil,Medium,0.41,0.65,0.10,0.30,0.10,0.30,0.53
octopus,Octopus,Medium,,0.90,0.10,0.30,0.01,0.40,0.11
lobster,Panulirus,Low,,0.90,0.30,0.50,0.30,0.60,0.06
Atlantic Spanish mackerel,Scomberomorus,Medium,,,,,,,0.70
Pacific angelshark,Squatina,Very low,,,,,,,0.70
