,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
2,Atrina,IUU,0.282239296,0.163449697,0.487361077,15207.28813,4665.784826,49565.42596,1073.023575,308.9282306,3727.013195,7603.644066,2332.892413,24782.71298,2015,381.228,607.3874,2428.664687,230.0815896,4496.403999,0.319407993,0.030259385,0.591348564,0.159703996,0.015129692,0.295674282,0.156970208,0.084785086,1.65692527,0.090149487,0.05220714,0.155667023,1.741221307,0.940494382,18.37975262,1.112320004
3,Atrina,IUU_20,0.282239296,0.163449697,0.487361077,18558.77669,5671.312224,60731.65762,1309.504018,374.0651735,4584.229952,9279.388345,2835.656112,30365.82881,2015,457.4736,728.86488,3003.040342,278.1582821,5490.726968,0.323624816,0.029975929,0.591712165,0.161812408,0.014987964,0.295856083,0.152336815,0.083317492,1.64465209,0.09133964,0.052896378,0.157722139,1.667806162,0.912172325,18.00589631,1.079486923
4,Atrina,IUU_40,0.282239296,0.163449697,0.487361077,21506.77091,6511.344829,71036.20023,1517.513971,425.6545091,5410.135692,10753.38546,3255.672414,35518.10012,2015,533.7192,850.34236,3386.624351,315.8239382,6354.053782,0.314935642,0.029369722,0.590888684,0.157467821,0.014684861,0.295444342,0.157596221,0.083996645,1.689926365,0.088887214,0.051476135,0.153487374,1.772990897,0.944980063,19.01202987,1.116756052
5,Atrina,IUU_60,0.282239296,0.163449697,0.487361077,24254.07459,7341.055966,80132.90418,1711.363235,479.7646932,6104.584528,12127.0373,3670.527983,40066.45209,2015,609.9648,971.81984,3940.883268,410.1144471,7166.133448,0.324966698,0.03381819,0.590922026,0.162483349,0.016909095,0.295461013,0.154778703,0.0851177,1.48730386,0.091718372,0.053115708,0.15837612,1.687543064,0.928033266,16.21598623,1.096790595
6,Callinectes,IUU,0.8,0.957432554,1.482159284,6775.997243,4949.931826,9275.711313,2017.97027,1673.449736,2433.418776,3387.998621,2474.965913,4637.855656,2015,796.56,1072.65698,3253.594954,2145.543975,4037.463682,0.96032948,0.6332777,1.191695787,0.48016474,0.31663885,0.595847893,0.244824574,0.197292177,0.371262491,0.595623108,0.478716277,0.741079642,0.411039416,0.331236606,0.623317809,0.411039416
7,Callinectes,IUU_20,0.8,0.962111433,1.482344565,8111.540042,5940.857697,11075.3506,2421.757178,2009.100875,2919.170411,4055.770021,2970.428848,5537.6753,2015,955.872,1287.188376,3945.886492,2572.831328,4807.778589,0.972906864,0.63436322,1.185416965,0.486453432,0.31718161,0.592708483,0.242245184,0.198817808,0.371525327,0.597114029,0.481055717,0.741172283,0.405693339,0.332964557,0.622201638,0.405693339
8,Callinectes,IUU_40,0.8,0.962111433,1.482344565,9405.544611,6865.653993,12885.04628,2808.091319,2314.432675,3407.045251,4702.772306,3432.826996,6442.52314,2015,1115.184,1501.719772,4536.482059,2999.477271,5584.706676,0.964639954,0.63781044,1.187534993,0.482319977,0.31890522,0.593767496,0.245825727,0.199685331,0.371792782,0.597114029,0.481055717,0.741172283,0.411689753,0.334417416,0.622649551,0.411689753
9,Callinectes,IUU_60,0.8,0.962111433,1.482344565,10763.65838,7869.882994,14721.4821,3213.56571,2657.130619,3886.524997,5381.829188,3934.941497,7360.741052,2015,1274.496,1716.251168,5084.722354,3375.978763,6402.687616,0.944794451,0.627292068,1.189686144,0.472397226,0.313646034,0.594843072,0.250652034,0.199056408,0.377518963,0.597114029,0.481055717,0.741172283,0.419772475,0.333364146,0.632239311,0.419772475
10,Cephalopholis,IUU,0.453277844,0.39167906,0.524564177,1532.038765,1013.704907,2315.410297,173.609807,102.8876105,292.9445533,766.0193827,506.8524534,1157.705148,2015,229.74737,166.2964067,419.2120095,37.24269827,605.3580305,0.547260316,0.04861848,0.790264638,0.273630158,0.02430924,0.395132319,0.548045773,0.379523123,6.168923862,0.226638922,0.19583953,0.262282089,2.41814499,1.674571691,27.21917229,2.41814499
11,Cephalopholis,IUU_20,0.453277844,0.39167906,0.524564177,1823.033897,1205.127949,2757.759117,206.5852184,122.2073837,349.2215541,911.5169483,602.5639744,1378.879559,2015,275.696844,199.555688,502.887231,43.57862981,722.0416302,0.551703654,0.047808908,0.792131876,0.275851827,0.023904454,0.396065938,0.548227966,0.381829568,6.326422956,0.226638922,0.19583953,0.262282089,2.418948881,1.684748433,27.9141063,2.418948881
