"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","X","Transition_period","Payoff_period","B_per_50","Loss"
"1","IUU",2015,0.05,1016.32768293074,71488.8125604861,2071950.37412982,0.349755801062032,9.98798018438737,3.1137170547032,1,13,NA,14.7998378532804,2446.8089032157
"2","IUU",2015,0.1,8761.02438331652,136218.701247234,6703788.17343049,3.01499127965765,19.0316448136442,10.0744206170935,2,11,30,25.7713083730608,4109.00495842878
"3","IUU",2015,0.15,15535.6414144334,201513.873783554,10787216.8361944,5.34638660264446,28.1542874491912,16.2109775673301,3,10,28,36.7025794105113,6087.90575461886
"4","IUU",2015,0.2,23659.0391658682,332642.797273683,16349305.9473026,8.14194706568877,46.4748196067413,24.5696583259415,4,11,31,60.624546256414,10280.1474755227
"5","IUU",2015,0.25,26356.702857696,468851.086427943,19597458.8552945,9.07031253420615,65.5050097063599,29.4509668901709,5,12,36,87.6869208925626,15078.5140504784
"6","IUU",2015,0.3,26104.7070167025,418457.018520065,18684147.627864,8.98359148083798,58.464258382526,28.078447171258,6,11,34,77.3646592583794,13406.3691974812
"7","IUU",2015,0.35,18274.992961221,735293.133569388,19092411.1927065,6.28909839799217,102.73066490779,28.6919836924682,7,14,NA,146.92032163494,26542.3700504695
"8","IUU",2015,0.4,4495.54779029195,926308.698624459,14620549.0362275,1.54708362766633,129.418192792876,21.971690756515,8,16,NA,193.572660854389,36611.0427598852
"9","IUU",2015,0.45,2068.76938834344,958893.273826995,13535967.6051627,0.711939767837629,133.970710589478,20.3417869995105,9,16,NA,201.766096024889,38683.9621630646
"10","IUU",2015,0.5,-60348.3755866216,1396663.09892179,-8228041.45489067,-20.7680995023428,195.133236329713,-12.3650611157411,10,26,NA,318.914799328518,76330.8399081437
"11","IUU",2020,0.05,2048.74662474409,72346.3161443868,1330479.06177638,0.652073495664428,9.48856014025919,2.0018624270117,11,8,43,14.5271617103617,1681.84387319848
"12","IUU",2020,0.1,11210.9805440417,135929.037539384,4587337.95568386,3.56822224128976,17.8277335493615,6.90219016391534,12,6,19,24.9666260456918,2900.87723363009
"13","IUU",2020,0.15,19101.774925296,201210.80319591,7318674.94717462,6.07969819132159,26.3897446164904,11.0118083126386,13,6,19,35.9951802402199,4257.82845355161
"14","IUU",2020,0.2,25319.0944589472,272430.540778867,9509919.39905424,8.05854185749583,35.7305486718162,14.3087936336695,14,6,19,48.6625032975617,5843.92125171468
"15","IUU",2020,0.25,35717.2748330502,469308.398382379,13068473.769546,11.3680666875551,61.5520070640864,19.6630577430607,15,7,24,86.0593496981274,10485.3037351814
"16","IUU",2020,0.3,34558.6580793706,487425.877614136,12818455.5425664,10.9993030407563,63.9281998053634,19.2868758781689,16,7,25,90.2642520711636,11027.2289611661
"17","IUU",2020,0.35,34003.6488365814,682531.424787218,12575131.4217839,10.8226551270023,89.5172113364447,18.9207660843553,17,8,35,131.77751054482,16494.1823746729
"18","IUU",2020,0.4,24520.0505973353,942631.304561648,8196148.09016284,7.80422279347024,123.630535735552,12.3320699883952,18,10,NA,193.233493880486,25723.9487637641
"19","IUU",2020,0.45,20937.5823205595,1011276.09303734,6608891.77045486,6.66399755325252,132.633623086498,9.94385593847408,19,12,NA,210.010597501426,28368.0741117747
"20","IUU",2020,0.5,-3383.3596907598,1255256.34508814,-1675803.01764274,-1.0768531130195,164.632782380238,-2.52144298431333,20,16,NA,273.197166839918,42081.6711504888
"21","IUU",2025,0.05,3423.17503937113,73715.4092918813,1221986.34462117,1.01491896999155,9.11761845463326,1.83987159853508,21,5,17,14.4724895617082,1046.7261912903
"22","IUU",2025,0.1,13926.994188637,137864.910037477,3788962.14359895,4.12914047176696,17.0520608930879,5.70481320566101,22,4,12,24.9619114142091,1899.38889838077
"23","IUU",2025,0.15,22984.9517763489,203565.857606579,5926337.21243013,6.81468616528678,25.1783967270383,8.92293074180954,23,4,11,35.9319125494632,2788.69790182603
"24","IUU",2025,0.2,31751.7200706411,275044.323130614,7951347.36102081,9.41389869314871,34.0193349057888,11.9718671522179,24,4,12,48.0156490710561,3788.92899878147
"25","IUU",2025,0.25,41809.7776773911,419663.243264647,10270712.416105,12.3959587248302,51.9067772705483,15.4639961029772,25,4,13,74.8988283613592,5943.70234701257
"26","IUU",2025,0.3,46498.7473794038,555216.599217045,11287907.7812673,13.7861664254456,68.6729295810556,16.9955261980241,26,5,16,101.910434954874,7633.75904387771
"27","IUU",2025,0.35,42130.2854772675,954041.251159257,9097371.6063622,12.4909843786117,118.002249483665,13.6973671707061,27,7,35,190.971477828174,14796.4994958218
"28","IUU",2025,0.4,48150.2439935214,787866.407084562,11014601.6999807,14.2758098772899,97.4486252199506,16.5840256122119,28,6,22,151.644303161598,11371.3270480642
"29","IUU",2025,0.45,39151.7345486238,985353.515807451,8535405.49461163,11.6078896476096,121.875161331476,12.8512484780545,29,7,38,198.58393768823,15634.4428602388
"30","IUU",2025,0.5,-9203.30184334301,1456082.7143356,-1871743.12060838,-2.72863803922892,180.098119989154,-2.81817143253624,30,18,NA,319.050244203449,36644.9912512157
"31","IUU",2030,0.05,4151.86337643408,74143.3848786579,1042679.94680835,1.15259851762884,8.67429369331674,1.57037990265254,31,5,12,14.0251642418143,710.532132830063
"32","IUU",2030,0.1,15608.7385458903,139137.558286877,3026248.83296907,4.33314087649504,16.278189164503,4.55783230728404,32,4,9,24.1995787889186,1351.52434703102
"33","IUU",2030,0.15,25459.9404494097,207021.364462064,4708680.04204684,7.06793238608727,24.2201528710085,7.09174136194505,33,4,9,35.1906080513543,1989.87428429472
"34","IUU",2030,0.2,34374.2774133538,276388.524777793,6222726.9999592,9.54264088170029,32.3356593620429,9.37204695490836,34,4,9,46.6242220245909,2668.38610203922
"35","IUU",2030,0.25,48919.3661194458,484357.631603287,8773900.20951255,13.5805019964416,56.6666919240642,13.214368032178,35,4,11,84.7743777848391,4971.83610563198
"36","IUU",2030,0.3,50606.8968879572,490082.644233399,9000444.00401466,14.0489773015972,57.3364811578955,13.5555655617227,36,4,11,85.3689369369057,5017.59035109135
"37","IUU",2030,0.35,52993.5833683712,703864.853912691,9682675.86830567,14.7115451777426,82.3476089368512,14.5830747335555,37,4,14,129.235973661796,7602.27800480128
"38","IUU",2030,0.4,45948.9898733858,960823.784457444,8624873.48721032,12.755896043018,112.41013217225,12.9899189379205,38,5,24,187.416670747098,10714.4575115029
"39","IUU",2030,0.45,41612.0658058804,1052849.07270921,7950792.52673554,11.5519228391674,123.176492230053,11.9746858394702,39,6,33,209.094096573537,11773.4792141235
"40","IUU",2030,0.5,19079.3649804196,1272013.60590758,5213599.1436248,5.29662125168928,148.817316846204,7.85219984396584,40,8,50,264.213615149315,16250.1440797353
"41","IUU_20",2015,0.05,1151.54031973612,85739.8790704077,2575585.7032177,0.329489522205844,9.90545597921701,3.33245791938107,41,13,NA,14.6213327202041,2968.24618846495
"42","IUU_20",2015,0.1,10364.8065337525,163418.980675134,8218912.1080835,2.96567570759895,18.8796571303393,10.6341554501806,42,11,30,25.4549080000771,4998.89968510382
"43","IUU_20",2015,0.15,18417.8226918349,241799.943647516,13203782.9069354,5.2698802593341,27.9349437338347,17.0839009003018,43,11,28,36.2833569761545,7257.88282281748
"44","IUU_20",2015,0.2,28021.1926295879,399190.80140521,20041212.3191976,8.01768658285154,46.1181769031957,25.9306054633207,44,11,31,59.9905901499959,12501.739570169
