ScientificName ,Genus,CommonName,Group,CommercialImportance,Objective,Quality,Site,Min2014,Max2014,Avg2014,Min2018,Max2018,Avg2018
Alphestes immaculatus ,Alphestes,Cabrilla marihuana,fish,Pesca artesanal,No,Segunda,RGI,250,250,250,250,250,250
Anisotremus davidsonii,Anisotremus,Canelo,fish,Pesca artesanal,No,Segunda,RGI,250,250,250,500,750,625
Anisotremus interruptus,Anisotremus,Burrito liso,fish,Pesca artesanal,No,Segunda,RGI,250,250,250,500,500,500
Argopecten ventricosus,Argopecten,Almeja catarina,invertebrate,Pesca artesanal,No,Segunda,RGI,3000,3000,3000,3000,3000,3000
Atractoscion nobilis,Atractoscion,Cabicucho,fish,Pesca artesanal,Si,Primera,RGI,3600,3600,3600,5000,7500,6250
Atrina maura,Atrina,Callo de redondo,invertebrate,Pesca artesanal,Si,Primera,RGI,7500,9000,9000,16500,17500,17000
Atrina tuberculosa,Atrina,Callo de riñon,invertebrate,Pesca artesanal,Si,Primera,RGI,13000,15000,14000,22500,25000,23750
Balistes polylepis,Balistes,Cochito,fish,Pesca artesanal,Si,Primera,RGI/Baja,600,600,600,1000,1250,1125
Bodianus diplotaenia,Bodianus,Vieja,fish,Pesca artesanal,No,Segunda,RGI/Baja,250,250,250,1750,1750,1750
Calamus brachysomus,Calamus,Mojarra blanca,fish,Pesca artesanal,No,Segunda,RGI/Baja,250,250,250,500,750,625
Callinectes arcuatus,Callinectes,Jaiba azul,invertebrate,Pesca artesanal,Si,Primera,RGI/Baja,600,800,700,1500,2000,1750
Callinectes bellicosus,Callinectes,Jaiba verde,invertebrate,Pesca artesanal,Si,Segunda,RGI/Baja,600,1000,800,1500,2000,1750
Caranx melampygus,Caranx,Jurel azul,fish,Pesca artesanal,Si,Primera,RGI/Baja,600,1000,800,1750,2000,1875
Carcharhinus leucas,Carcharhinus,Tiburón lobero,fish,Pesca artesanal,Si,Primera,RGI,500,500,500,750,1400,1075
Carcharhinus limbatus,Carcharhinus,Tiburón volador,fish,Pesca artesanal,Si,Primera,RGI,500,500,500,600,1400,1000
Carcharhinus obscurus,Carcharhinus,Tiburón barroso,fish,Pesca artesanal,Si,Primera,RGI,500,500,500,750,1400,1075
Caulolatilus affinis,Caulolatilus,Conejo,fish,Pesca artesanal,Si,Segunda,RGI/Baja,500,600,550,1000,1500,1250
Caulolatilus princeps,Caulolatilus,Pierna,fish,Pesca artesanal,Si,Segunda,RGI/Baja,500,600,550,1000,1200,1100
Cephalopholis panamensis ,Cephalopholis,Enjambre/cabrilla,fish,Pesca artesanal,No,Segunda,RGI/Baja,250,250,250,1000,1500,1250
Coryphaena hippurus,Coryphaena,Dorado,fish,Pesca artesanal,No,Primera,RGI/Baja,900,1000,950,900,1000,950
Cynoscion othonopterus,Cynoscion,Curvina golfina,fish,Pesca artesanal,No,Segunda,RGI,600,600,600,1400,1500,1450
Cynoscion parvipinnis,Cynoscion,Curvina aleta corta,fish,Pesca artesanal,Si,Segunda,RGI,500,600,550,750,750,750
Cynoscion reticulatus,Cynoscion,Curvina rayada,fish,Pesca artesanal,Si,Segunda,RGI,500,600,550,500,600,550
Dasyatis dipterura,Dasyatis,Manta arenera,fish,Pesca artesanal,Si,Primera,RGI,900,1000,950,1250,1250,1250
Diplobatis ommata,Diplobatis,Guitarra elécttrica manchada,fish,Pesca artesanal,Si,Segunda,RGI,200,200,200,750,750,750
Dosinia ponderosa,Dosinia,Almeja reyna,invertebrate,Pesca artesanal,Si,Segunda,RGI/Baja,500,600,550,500,600,550
Epinephelus analogus,Epinephelus,Pinta,fish,Pesca artesanal,No,Primera,RGI/Baja,2250,2250,2250,2500,3500,3000
Epinephelus labriformis,Epinephelus,Cabrilla piedrera,fish,Pesca artesanal,No,Segunda,RGI/Baja,1250,1250,1250,2500,2500,2500
Euvola vogdesi,Euvola,Almeja voladora,invertebrate,Pesca artesanal,No,Segunda,RGI,3000,3000,3000,3000,3000,3000
Farfantepenaeus californiensis,Farfantepenaeus,Camaron café,invertebrate,Pesca artesanal,Si,Primera,RGI,6000,7500,7500,5000,9000,7000
Haemulon flaviguttatum,Haemulon,Rayadillo aleta amarilla,fish,Pesca artesanal,No,Segunda,RGI/Baja,250,250,250,500,500,500
Haemulon maculicauda,Haemulon,Rayadillo,fish,Pesca artesanal,No,Segunda,RGI/Baja,250,250,250,500,500,500
Haemulon scudderi,Haemulon,Burrito,fish,Pesca artesanal,No,Segunda,RGI/Baja,250,250,250,500,500,500
Haemulon sexfasciatum,Haemulon,Burrito,fish,Pesca artesanal,No,Segunda,RGI/Baja,250,250,250,500,500,500
Haemulon steindachneri,Haemulon,Burrito,fish,Pesca artesanal,No,Segunda,RGI/Baja,250,250,250,250,250,250
Hexaplex erythrostomus,Hexaplex,Caracol chino rosa,invertebrate,Pesca artesanal,Si,Segunda,RGI,2000,2500,2250,4000,4000,4000
Hexaplex nigritus,Hexaplex,Caracol chino negro,invertebrate,Pesca artesanal,Si,Segunda,RGI,2000,2500,2250,4000,4000,4000
Hexaplex princeps,Hexaplex,Caracol chino,invertebrate,Pesca artesanal,Si,Segunda,RGI,2000,2000,2000,4000,4000,4000
Holothuria impatiens,Holothuria,Pepino,invertebrate,Pesca artesanal,Si,Primera,RGI,4000,4000,4000,4000,4000,4000
Holothuria lubrica,Holothuria,Pepino,invertebrate,Pesca artesanal,Si,Primera,RGI,4000,4000,4000,4000,4000,4000
Hoplopagrus guentherii,Hoplopagrus,Pargo coconaco,fish,Pesca artesanal,Si,Primera,RGI/Baja,2250,2250,2250,2250,2500,2375
Hyporthodus acanthistius,Hyporthodus,Baqueta,fish,Pesca artesanal,Si,Primera,RGI/Baja,3000,3750,3375,350,5000,2675
Hyporthodus niphobles,Hyporthodus,Baqueta plomuda,fish,Pesca artesanal,Si,Primera,RGI/Baja,3000,3750,3375,0,0,4500
Isostichopus fuscus,Isostichopus,Pepino de mar,invertebrate,Pesca artesanal,Si,Primera,RGI/Baja,15000,17500,16250,25000,25000,25000
Litopenaeus stylirostris,Litopenaeus,Camaron azul,invertebrate,Pesca artesanal,Si,Primera,RGI/Baja,7500,12500,10000,10000,10000,10000
Lutjanus argentiventris,Lutjanus,Pargo amarillo,fish,Pesca artesanal,Si,Primera,RGI/Baja,1750,2250,2000,2250,2500,2375
Lutjanus guttatus,Lutjanus,Pargo lunarejo,fish,Pesca artesanal,Si,Primera,RGI/Baja,1750,2250,2000,2250,2500,2375
Lutjanus novemfasciatus,Lutjanus,Pargo dienton,fish,Pesca artesanal,Si,Primera,RGI/Baja,1750,2250,2000,2250,2500,2375
Lutjanus peru,Lutjanus,Huachinango,fish,Pesca artesanal,Si,Primera,RGI/Baja,1750,2250,2000,2500,4000,3250
